area	amenities	floors	bedrooms	bathrooms	property_type	selling_type	road_size	road_type	location_two
3.5	4	3.5	2.5	2.5	0.0	1.0	20.0	19.0	14.0
4.0	6	2.5	2.5	2.5	2.0	0.0	14.0	19.0	15.0
32.0	6	2.0	10.0	2.5	2.0	0.0	12.0	19.0	15.0
106.5010957	4	2.5	4.0	4.0	2.0	1.0	14.0	19.0	15.0
14.0	14	3.0	9.0	2.5	2.0	1.0	40.0	18.0	4.0
6.0	4	2.5	3.0	3.0	2.0	1.0	12.0	19.0	17.0
4.5	6	3.5	3.0	2.5	2.0	1.0	36.0	19.0	14.0
8.0	4	2.5	13.0	5.0	2.0	1.0	13.0	19.0	4.0
3.125	4	2.5	4.0	3.0	2.0	1.0	13.0	22.0	17.0
3.3125	4	2.5	5.0	3.0	2.0	1.0	13.0	19.0	21.0
3.3125	6	2.5	2.0	2.0	2.0	0.0	12.0	19.0	15.0
32.0	5	2.0	4.0	3.0	2.0	0.0	20.0	19.0	15.0
5.0	4	2.5	4.0	5.0	2.0	1.0	12.0	19.0	17.0
2.5	5	2.5	4.0	3.0	2.0	1.0	13.0	19.0	19.0
10.0	5	3.0	2.5	2.5	2.0	1.0	12.0	19.0	4.0
27.0	4	2.5	9.0	6.0	2.0	1.0	15.0	19.0	4.0
4.0	4	2.5	4.0	5.0	2.0	1.0	15.0	19.0	4.0
4.0625	3	3.5	2.5	2.5	2.0	1.0	12.0	21.0	25.0
5.0	6	2.5	6.0	5.0	2.0	1.0	18.0	19.0	27.0
14.0	6	2.5	5.0	4.0	2.0	0.0	12.0	19.0	15.0
3.5	10	2.5	6.0	3.0	2.0	1.0	13.0	20.0	14.0
3.5	7	2.5	4.0	4.0	2.0	1.0	16.0	19.0	27.0
3.0	0	2.5	2.5	2.5	2.0	1.0	12.0	22.0	25.0
4.5	7	2.5	2.5	2.5	2.0	1.0	13.0	20.0	27.0
4.0625	6	2.5	5.0	4.0	2.0	1.0	12.0	21.0	21.0
4.6875	4	2.5	5.0	4.0	2.0	1.0	20.0	19.0	17.0
4.75	4	2.5	6.0	3.0	2.0	0.0	12.0	19.0	15.0
4.5	6	2.5	2.5	2.5	2.0	1.0	20.0	21.0	25.0
8.25	10	3.0	5.0	5.0	2.0	1.0	20.0	19.0	4.0
8.25	4	2.0	2.5	2.5	0.0	0.0	15.0	19.0	15.0
3.0	4	3.0	8.0	2.5	2.0	1.0	13.0	22.0	6.0
5.25	7	3.0	4.0	5.0	2.0	1.0	16.0	20.0	4.0
3.1875	6	1.0	2.0	1.0	2.0	1.0	13.0	20.0	19.0
9.0	4	6.0	2.5	2.5	0.0	1.0	26.0	19.0	15.0
